topic_id,words
0,"['atheists', 'atheism', 'therefore', 'argument', 'conclusion', 'reason', 'discuss', 'proof', 'statements', 'false', 'existence', 'exist', 'reasoning', 'statement', 'faith', 'religious', 'religions', 'valid', 'nature', 'meaning', 'belief', 'religion', 'beliefs', 'definition', 'atheist', 'weak', 'atheists', 'arguments', 'absolute']"
1,"['image', 'program', 'amiga', 'programs', 'colors', 'file', 'archive', 'versions', 'color', 'files', 'images', 'display', 'gif', 'image', 'convert', 'postscript', 'conversion', 'format', 'setting', 'processing', 'directory', 'formats', 'shareware', 'jpeg']"
2,"['windows', 'video', 'card', 'diamond', 'ati', 'cards', 'driver', 'dos', 'setup', 'vga', 'drivers', 'windows', 'port', 'microsoft', 'screen', 'load', 'mouse', 'installed', 'gateway', 'window', 'resolution', 'msdos']"
3,"['drive', 'supports', 'bus', 'ide', 'scsi', 'drive', 'cdrom', 'devices', 'interface', 'isa', 'disks', 'feature', 'transfer', 'disk', 'controller', 'hd', 'mb', 'floppy', 'cable', 'hard', 'meg', 'master', 'heads', 'pin', 'drives', 'bios', 'install', 'rom', 'led']"
4,"['mac', 'motherboard', 'mac', 'internal', 'apple', 'quadra', 'external', 'macintosh', 'centris']"
5,"['sale', 'price', 'original', 'brand', 'included', 'features', 'sale', 'shipping', 'best', 'reasonable', 'willing', 'condition', 'sold', 'offer', 'selling', 'items', 'offers', 'prices', 'includes']"
6,"['car', 'ford', 'miles', 'light', 'car', 'automatic', 'cars', 'range', 'driving', 'owner', 'fuel']"
7,"['bike', 'fun', 'riding', 'rear', 'ride', 'front', 'pull', 'bike', 'road', 'traffic', 'bikes', 'motorcycle', 'ground', 'limit']"
8,"['baseball', 'stats', 'winning', 'playing', 'player', 'players', 'runs', 'morris', 'baseball', 'pitching', 'score', 'braves', 'roger']"
9,"['hockey', 'pens', 'fans', 'season', 'watch', 'playoffs', 'games', 'beat', 'lose', 'game', 'hockey', 'series', 'bruins', 'fan', 'nhl', 'espn', 'team', 'rangers', 'goals', 'red', 'won', 'detroit', 'wings', 'teams', 'league', 'played', 'leafs', 'ice', 'sports', 'stanley', 'cup', 'playoff', 'sox']"
10,"['encryption', 'device', 'clipper', 'escrow', 'agencies', 'enforcement', 'announcement', 'chip', 'encryption', 'proposal', 'cryptography', 'details', 'chips', 'key', 'crypto', 'strong', 'secure', 'keys', 'scheme', 'pgp', 'nsa', 'sternlight', 'wiretap', 'security', 'encrypted', 'algorithm', 'release', 'privacy']"
11,"['medical', 'increase', 'dr', 'studies', 'education', 'reported', 'national', 'doctors', 'health', 'risk', 'increased', 'effects', 'volume', 'effective', 'medicine', 'medical', 'hospital', 'patients', 'students', 'persons', 'treatment', 'prevent', 'diet', 'disease', 'cancer', 'aids']"
12,"['space', 'station', 'space', 'nasa', 'option']"
13,"['christians', 'truth', 'follow', 'christian', 'logic', 'christians', 'christianity', 'accept']"
14,"['gun', 'shoot', 'weapons', 'firearms', 'armed', 'laws', 'control', 'guns', 'violence', 'carried', 'deaths', 'carrying', 'training', 'crime', 'criminals', 'gun', 'safety', 'defend', 'safe', 'criminal', 'violent', 'threat', 'cops', 'weapon', 'shooting']"
15,"['israel', 'holocaust', 'killed', 'land', 'peace', 'policy', 'talks', 'soldiers', 'israel', 'nazi', 'civilians', 'attacks', 'jews', 'jewish', 'palestinians', 'israeli', 'arab', 'palestinian', 'arabs', 'israelis']"
16,"['president', 'announced', 'president', 'yesterday', 'house', 'white', 'decision', 'presented', 'senate', 'congress', 'forward', 'funds', 'budget', 'clinton', 'meeting', 'working', 'continue', 'russia', 'summer', 'jobs', 'administration', 'options', 'aid', 'weve', 'plan', 'ms', 'secretary', 'bush', 'myers', 'table', 'stephanopoulos']"
